sub_ID,experimenter,test,test_age,condition,order,switch_dimension,training,training,pre_1,pre_2,pre_3,pre_4,pre_5,pre_6,post_1,post_2,post_3,post_4,post_5,post_6
070715_01,Tamara Mekler,DCCS,4.553045859,A,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
070715_02,Tamara Mekler,DCCS,4.588637919,B,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
070715_03,Tamara Mekler,DCCS,4.79945243,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
070815_03,Tamara Mekler,DCCS,4.112251882,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,1,0,0
070815_04,Tamara Mekler,DCCS,4.796714579,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,Tamara Mekler,DCCS,0,,,,,,,,,,,,,,,,,
070915_02,Tamara Mekler,DCCS,3.017111567,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,0,1,0,1,0
070915_03,Tamara Mekler,DCCS,3.89596167,C,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
070915_04,Tamara Mekler,DCCS,3.972621492,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071315_02,Tamara Mekler,DCCS,3.463381246,A,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071415_01,Tamara Mekler,DCCS,3.885010267,B,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
071415_02,Tamara Mekler,DCCS,4.678986995,B,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071415_03,Tamara Mekler,DCCS,4.410677618,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071415_04,Tamara Mekler,DCCS,3.608487337,B,"Quantifier, DCCS, SI",color - shape,1,1,0,1,0,1,0,1,0,1,0,1,0,1
071415_06,Tamara Mekler,DCCS,3.947980835,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
071615_01,Tamara Mekler,DCCS,4.481861739,C,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
071615_02,Tamara Mekler,DCCS,4.646132786,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,1,1,1
072015_01,Tamara Mekler,DCCS,4.676249144,A,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072015_02,Tamara Mekler,DCCS,4.06844627,A,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,0,1,1
072015_03,Tamara Mekler,DCCS,4.804928131,A,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072015_04,Tamara Mekler,DCCS,3.518138261,C,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072015_05,Tamara Mekler,DCCS,3.34017796,B,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072015_06,Tamara Mekler,DCCS,3.832991102,B,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072115_01,Tamara Mekler,DCCS,3.904175222,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,0,1,1,1,1,1,1,1
072115_02,Tamara Mekler,DCCS,3.605749487,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072115_03,Tamara Mekler,DCCS,4.114989733,A,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_01,Tamara Mekler,DCCS,3.452429843,C,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_02,Tamara Mekler,DCCS,4.183436003,B,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,0,1,1,1,1,1,0,0,1
072215_03,Tamara Mekler,DCCS,3.378507871,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072215_04,Tamara Mekler,DCCS,4.350444901,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_05,Tamara Mekler,DCCS,4.572210815,B,"Quantifier, DCCS, SI",shape - color,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072215_06,Tamara Mekler,DCCS,3.222450376,C,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072215_07,Tamara Mekler,DCCS,3.830253251,A,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072315_01,Tamara Mekler,DCCS,3.014373717,A,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072315_02,Tamara Mekler,DCCS,3.430527036,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072415_01,Tamara Mekler,DCCS,4.123203285,B,"SI, DCCS, Quantifier",shape - color,1,1,1,1,1,1,1,1,0,0,0,0,0,0
072415_02,Tamara Mekler,DCCS,4.161533196,C,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072415_03,Tamara Mekler,DCCS,4.561259411,A,"SI, DCCS, Quantifier",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
072415_04,Tamara Mekler,DCCS,4.06844627,C,"Quantifier, DCCS, SI",color - shape,1,1,1,1,1,1,1,1,1,1,1,1,1,1
