sub_ID,experimenter,test_age,condition,order,training,carrot_condition,carrot_type,carrot_selection,carrot_target,carrot,hat_condition,hat_type,hat_selection,hat_target,hat,cookies_condition,cookies_type,cookies_selection,cookies_target,cookies,trains_condition,trains_type,trains_selection,trains_target,trains,cats_condition,cats_type,cats_selection,cats_target,cats,purses_condition,purses_type,purses_selection,purses_target,purses,keys_condition,keys_type,keys_selection,keys_target,keys,shirts_condition,shirts_type,shirts_selection,shirts_target,shirts,breads_condition,breads_type,breads_selection,breads_target,breads,horses_condition,horses_type,horses_selection,horses_target,horses,bears_condition,bears_type,bears_selection,bears_target,bears,frogs_condition,frogs_type,frogs_selection,frogs_target,frogs,plates_condition,plates_type,plates_selection,plates_target,plates,books_condition,books_type,books_selection,books_target,books,elephants_condition,elephants_type,elephants_selection,elephants_target,elephants,lamps_condition,lamps_type,lamps_selection,lamps_target,lamps,bananas_condition,bananas_type,bananas_selection,bananas_target,bananas,butterflies_condition,butterflies_type,butterflies_selection,butterflies_target,butterflies
070715_01,Tamara Mekler,4.553045859,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
070715_02,Tamara Mekler,4.588637919,B,"SI, DCCS, Quantifier",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
070715_03,Tamara Mekler,4.79945243,C,"SI, DCCS, Quantifier",1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,3,1,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
070815_03,Tamara Mekler,4.112251882,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,1,none,control_none,3,1,0,some,implicature,2,2,1,none,control_none,2,3,0,all,control_all,2,1,0,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,1,3,0,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,3,2,0,none,control_none,2,3,0,some,implicature,3,2,0
070815_04,Tamara Mekler,4.796714579,B,"SI, DCCS, Quantifier",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,2,2,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,1,1,1,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,1,1,1,all,control_all,3,3,1
,Tamara Mekler,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
070915_02,Tamara Mekler,3.017111567,B,"SI, DCCS, Quantifier",1,none,control_none,2,1,0,all,control_all,2,1,0,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,3,3,1
070915_03,Tamara Mekler,3.89596167,C,"SI, DCCS, Quantifier",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,1,2,0,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,1,2,0,all,control_all,1,1,1,some,implicature,2,3,0,none,control_none,3,3,1,some,implicature,2,3,0,all,control_all,2,2,1,none,control_none,1,1,1
070915_04,Tamara Mekler,3.972621492,A,"SI, DCCS, Quantifier",1,all,control_all,3,3,1,some,implicature,1,2,0,none,control_none,3,1,0,some,implicature,2,3,0,all,control_all,1,1,0,none,control_none,3,1,0,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,1,1,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,2,1,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0
071315_02,Tamara Mekler,3.463381246,A,"Quantifier, DCCS, SI",1,all,control_all,3,3,1,some,implicature,2,2,1,none,control_none,1,1,1,some,implicature,3,3,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,none,control_none,3,3,1,all,control_all,3,1,0,none,control_none,3,3,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,3,3,1,all,control_all,2,2,1,some,implicature,1,1,1,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,2,2,1
071415_01,Tamara Mekler,3.882272416,B,"Quantifier, DCCS, SI",1,none,control_none,3,1,0,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,1,3,0,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,2,3,0,some,implicature,2,2,1,none,control_none,3,1,0,all,control_all,2,2,1,none,control_none,3,1,0,some,implicature,1,1,1,all,control_all,3,3,1
071415_02,Tamara Mekler,4.676249144,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,3,3,1,some,implicature,3,2,0,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,3,3,1,some,implicature,1,2,0,all,control_all,3,3,1,none,control_none,3,3,1,some,implicature,1,2,0,none,control_none,1,1,1,all,control_all,2,2,1,none,control_none,1,1,1,some,implicature,2,1,0,all,control_all,3,3,1
071415_03,Tamara Mekler,4.410677618,C,"Quantifier, DCCS, SI",1,some,implicature,3,2,0,none,control_none,3,3,1,all,control_all,3,3,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,3,3,1,none,control_none,1,1,1,all,control_all,2,2,1,some,implicature,2,2,1,all,control_all,1,1,1,none,control_none,1,1,1,some,implicature,2,2,1,all,control_all,1,1,1,some,implicature,3,3,1,none,control_none,3,3,1,some,implicature,3,3,1,all,control_all,2,2,1,none,control_none,1,1,1
071415_04,Tamara Mekler,3.608487337,B,"Quantifier, DCCS, SI",1,none,control_none,1,1,1,all,control_all,1,1,1,some,implicature,3,2,0,all,control_all,2,2,1,none,control_none,2,3,0,some,implicature,2,2,1,all,control_all,3,3,1,some,implicature,2,1,0,none,control_none,1,3,0,some,implicature,1,2,0,all,control_all,2,3,0,none,control_none,1,3,0,some,implicature,1,2,0,none,control_none,2,1,0,all,control_all,2,2,1,none,control_none,2,1,0,some,implicature,2,1,0,all,control_all,2,3,0
